org_name,address,city,state,zip,phone,category,services,
CROSS ROADS OF SOUTHERN NEVADA,2121 W CHARLESTON BLVD ,Las Vegas,NV,89102,772-919-5390,behavioral-health,alcohol-drug-abuse-treatment-centers,
FREEDOM BEHAVIORAL HEALTH,3852 PALOS VERDES STREET ,Las Vegas,NV,89119,702-485-1300,behavioral-health,alcohol-drug-abuse-treatment-centers,
LAS VEGAS RECOVERY CENTER I,7535 W GOWAN RD ,Las Vegas,NV,89129,702-515-1373,behavioral-health,alcohol-drug-abuse-treatment-centers,
LAS VEGAS RECOVERY CENTER II,7525 W GOWAN RD ,Las Vegas,NV,89129,702-515-1373,behavioral-health,alcohol-drug-abuse-treatment-centers,
LUXE TREATMENT CENTER LLC,4845 N RILEY ST ,Las Vegas,NV,89149,818-469-3917,behavioral-health,alcohol-drug-abuse-treatment-centers,
NEVADA HOMES FOR YOUTH,525 S 13TH ST ,Las Vegas,NV,89101,702-380-2889,behavioral-health,alcohol-drug-abuse-treatment-centers,
THE FEARLESS KIND,4315 HELAMAN AVE ,Las Vegas,NV,89120,702-780-0822,behavioral-health,alcohol-drug-abuse-treatment-centers,
THE NESTLED RECOVERY CENTER,2860 S BRONCO ST,Las Vegas,NV,89146,917-439-1355,behavioral-health,alcohol-drug-abuse-treatment-centers,
VANCE JOHNSON RECOVERY CENTER,2651 WESTWOOD DR ,Las Vegas,NV,89109,813-559-9870,behavioral-health,alcohol-drug-abuse-treatment-centers,
WESTCARE INC - HARRIS SPRINGS RANCH,1200 HARRIS SPRINGS RD ,Las Vegas,NV,89124,702-385-2090,behavioral-health,alcohol-drug-abuse-treatment-centers,
WESTCARE NEVADA WOMEN AND CHILDRENS CAMPUS,5659 DUNCAN DRIVE ,Las Vegas,NV,89130,702-385-2090,behavioral-health,alcohol-drug-abuse-treatment-centers,
